Tstamp,PM2.5mean,BCmean,O3mean,PM2.5max,BCmax,O3max,Dpattern,Precipitation,Tmean,RHmean,Windspeed,WDirection,SunshineHours,China,RRD,SoutheastAsia,PacificOcean
9/20/2019,42.52458333,2.393333333,32.62416667,66.11,4.49,76.58,UCV,0.2,27.6,81,4,NNE,7,209,31,0,0
9/21/2019,23.54375,2.228333333,27.0175,58.65,4.96,53.18,UCV,,28.6,68,5,NNW,8.8,228,12,0,0
9/22/2019,24.09333333,2.9025,41.39708333,63.35,8.11,72.51,DNV,,27.7,57,4,NNE,10.4,222,18,0,0
9/23/2019,59.59,4.994583333,40.27875,130.82,13.82,88.78,DNV,,26.7,64,5,NNW,9.4,215,25,0,0
9/24/2019,46.23086957,4.67826087,50.74826087,104.68,11.23,98.33,DNV,,26.8,63,3,NNE,9.3,213,27,0,0
9/25/2019,49.11346154,5.017692308,27.97884615,107.18,16.42,61.61,DNV,,27.2,63,5,NNE,9.5,211,29,0,0
9/26/2019,57.31,5.1,44.98125,111.44,8.59,100.42,DNV,,27.4,68,5,NNW,6.9,204,36,0,0
9/27/2019,54.73916667,5.51375,43.89625,133,14.48,102.57,DNV,,27.8,64,3,NNW,9.1,200,40,0,0
9/28/2019,58.33625,5.163333333,43.695,113.57,9.88,102.17,DNV,,27.2,67,3,N,9.4,166,74,0,0
9/29/2019,53.70083333,3.944166667,43.755,108.22,11.49,104.71,DNV,,27.4,65,5,NNW,9.3,123,117,0,0
9/30/2019,68.64208333,5.100416667,54.08666667,157.1,9.25,109.77,DNV,,28.1,65,5,SSE,9.2,66,162,10,2
10/1/2019,66.13541667,6.400416667,68.57416667,140.29,11.95,186.71,RHV,,28.6,67,3,SSE,8.5,10,67,76,87
10/2/2019,39.75416667,3.42375,38.63208333,55.54,9.91,80.34,RHV,,28.5,79,4,SSE,4.4,0,21,62,157
10/3/2019,33.58333333,2.7625,20.43,67.37,5.38,45.55,RHV,10.2,26.1,89,4,ESE,0.1,0,23,0,217
10/4/2019,62.065,4.044166667,12.80625,156.61,6.97,66.94,RHV,37.1,26.5,86,5,SE,1,0,26,0,214
10/5/2019,37.84208333,4.569583333,29.13083333,73.27,11.64,100.69,RHV,0.2,27,76,4,SSE,7.5,0,41,0,199
10/6/2019,44.6425,5.00125,26.76375,145.82,26.03,73.11,RHV,,28.1,79,4,NNW,7.8,0,57,0,183
10/7/2019,39.75583333,3.107083333,28.01625,72.3,5.53,79.32,DNV,,27.6,74,4,N,6.8,92,42,0,106
10/8/2019,19.72583333,1.5125,17.47416667,29.25,2.13,28.09,DNV,9,26.1,86,3,NNE,0,138,31,0,71
10/9/2019,21.10333333,1.978333333,13.34,53.4,5.07,29.09,DNV,17.8,24.6,92,5,NNW,0.7,129,34,0,77
10/10/2019,37.33291667,3.89625,19.08875,69.21,10.86,75.58,RHV,0.1,27.4,82,4,SW,8.4,30,34,0,176
10/11/2019,18.71,1.75875,14.01583333,27.03,2.71,35.08,RHV,,28.6,78,5,WSW,9.7,0,21,0,219
10/12/2019,22.21541667,2.365833333,13.41,34.47,3.51,39.38,RHV,,28.9,78,4,SSE,8.6,0,30,0,210
10/13/2019,30.38291667,2.87125,23.73625,56.47,9.22,62.56,RHV,,28.3,78,5,NNE,5,0,47,0,193
10/14/2019,28.29791667,1.845416667,28.94708333,42.65,2.91,48.2,RHV,1.2,26.5,80,4,NNE,2,178,24,0,38
10/15/2019,23.27541667,1.698333333,25.46916667,33.94,2.86,40.99,RHV,0.7,25.7,76,4,NNW,0.3,218,22,0,0
10/16/2019,35.94458333,2.811666667,33.52583333,55.22,4.6,84.96,RHV,5.5,26.3,81,3,NNE,3.8,203,30,0,7
10/17/2019,45.845,3.864166667,30.78291667,63.65,12.08,82.62,RHV,2.6,25.8,85,3,NNW,3,194,29,0,17
10/18/2019,16.0025,1.30625,22.88458333,70.58,4.48,43.24,RHV,0.1,24.4,76,6,NNE,3.9,216,24,0,0
10/19/2019,23.77875,2.670833333,34.12,58.4,9.73,75.37,RHV,,24.9,73,3,NNW,10.2,203,37,0,0
10/20/2019,41.03375,3.3725,51.22333333,63.33,5.05,107.39,RHV,,26.1,78,3,NNW,9.2,172,39,0,29
10/21/2019,39.75375,2.719583333,45.85125,90.3,5.62,73.2,RHV,,27,79,4,SE,5.9,125,30,0,85
10/22/2019,22.37875,2.000833333,31.2525,34.12,3.97,56.7,RHV,,27.6,78,6,NNE,8.3,73,14,13,140
10/23/2019,21.7175,2.145,30.61333333,33.71,7.89,64.55,RHV,,28.7,80,6,ESE,8.1,27,22,13,178
10/24/2019,8.929583333,1.02625,21.74083333,14.97,2.02,30.15,RHV,2.8,23.4,85,5,NNE,0,42,29,0,169
10/25/2019,43.42125,2.629583333,16.90083333,100.11,5.81,35.26,RHV,,23.8,82,4,NNE,0.2,178,32,0,30
10/26/2019,68.91083333,4.939583333,16.2475,101.6,9.82,59.34,RHV,0.1,25.3,86,4,NW,0.4,180,28,0,32
10/27/2019,37.89166667,2.7525,18.66333333,76.66,6.8,44.64,RHV,2,26,86,3,SSE,5,162,29,0,49
10/28/2019,26.06291667,1.279583333,16.01416667,61.79,3.16,37.43,RHV,12.5,22.8,87,11,NNE,0,201,27,0,12
10/29/2019,15.18166667,1.62,21.08208333,37.83,5.2,56.29,DNV,,22.9,68,6,NNE,10.4,223,17,0,0
10/30/2019,41.53125,3.92,25.06708333,139,11.19,67.36,DNV,,22.7,66,3,NNE,10.3,220,20,0,0
10/31/2019,34.98666667,2.83375,24.29958333,71.34,7.05,54.83,DNV,,22.5,66,4,NNE,1.4,222,18,0,0
11/1/2019,25.91791667,1.359166667,23.48583333,37.88,3.5,36.62,DNV,22.1,19.2,95,5,NNW,0,213,27,0,0
11/2/2019,23.85333333,0.8025,14.64958333,32.04,1.1,22.42,DNV,4,21.3,92,4,NNW,0,200,40,0,0
11/3/2019,28.45291667,1.072083333,22.42916667,39.5,2.27,42.42,DNV,0.7,23.8,85,4,NNE,0.8,217,23,0,0
11/4/2019,29.96541667,1.914583333,22.19083333,63.28,5.41,55.98,DNV,,24.4,75,4,NNW,6.3,221,19,0,0
11/5/2019,39.44541667,2.737916667,39.57333333,91.63,10.13,79.36,RHV,,22.7,67,5,SSE,9.6,209,31,0,0
11/6/2019,57.27416667,4.405,55.13166667,108.79,10.25,104.93,RHV,,23.1,74,3,SSE,8.3,177,59,0,4
11/7/2019,57.51541667,3.650833333,50.45416667,99.56,6.78,72.4,RHV,,24.9,66,5,ENE,5.5,220,20,0,0
11/8/2019,43.98791667,2.375,32.97833333,95,6.75,66.41,RHV,,23.8,62,4,SSE,9,212,28,0,0
11/9/2019,64.32541667,2.797083333,30.46875,114.7,6.54,72.46,RHV,,21.7,73,4,SSE,8,183,57,0,0
11/10/2019,77.42041667,3.83,29.81041667,120.95,7.02,67.7,RHV,,21.9,74,4,NNE,8.2,195,45,0,0
11/11/2019,69.76916667,3.505217391,25.105,110.7,5.56,70.91,RHV,,22.6,73,3,N,7.2,190,50,0,0
11/12/2019,96.69291667,4.094166667,24.26291667,183.13,8.37,67.12,RHV,,22.8,83,4,SSE,1.1,146,55,0,39
11/13/2019,76.33041667,2.08,10.99541667,162.49,4.82,25.5,RHV,2,24.5,90,4,NNW,0.1,86,22,0,132
11/14/2019,22.9275,1.2875,11.39458333,48.98,3.43,27.5,RHV,15,20.7,86,4,NNE,0,219,21,0,0
11/15/2019,49.93125,4.506666667,15.48666667,104.7,49.37,37.03,RHV,,22.4,82,4,SSE,8.1,175,38,0,27
11/16/2019,41.27375,1.559166667,21.17708333,70.15,2.37,31.97,RHV,,24.7,81,8,SSW,8.8,123,12,11,94
11/17/2019,25.9225,1.05,12.19333333,32.52,1.92,26.59,RHV,,25.9,82,5,SSE,8.1,50,16,20,154
11/18/2019,18.38791667,0.77,13.1775,28.11,1.82,29.97,RHV,3.3,25.7,82,7,N,4.3,93,24,0,123
11/19/2019,13.32208333,0.245833333,17.79208333,24.14,0.55,32.09,DNV,4.5,19.4,73,5,NNE,1,215,25,0,0
11/20/2019,36.09217391,0.76,25.95,71.36,1.71,162.9,DNV,,20.6,75,4,N,4.7,198,42,0,0
11/21/2019,50.4136,1.7664,56.7124,82.76,3.04,376.25,DNV,,21.2,81,4,NNW,2.3,193,41,0,6
11/22/2019,50.20041667,2.723913043,38.34791667,81.5,4.93,71.95,DNV,,22.3,77,5,SSW,7.6,164,48,0,28
11/23/2019,52.18625,3.253333333,48.24083333,82.18,6.23,66.51,DNV,,23.7,81,5,SSE,5.7,122,23,0,95
11/24/2019,30.47375,1.705416667,32.36583333,56.27,3.7,49.2,DNV,,24.5,80,4,SSE,6.9,82,33,0,125
11/25/2019,42.22916667,3.602916667,34.19416667,86.83,7.31,80.39,DNV,,24,78,4,SSW,8.4,105,33,0,102
11/26/2019,50.63291667,2.969166667,28.73083333,99.71,6.68,58.06,DNV,,22.7,74,5,N,2.2,204,29,0,7
11/27/2019,66.17083333,3.2725,30.6425,119.36,7.7,65.2,DNV,0,24.3,79,4,N,1.9,193,29,0,18
11/28/2019,25.56333333,1.16875,20.90208333,52.98,2.66,32.82,DNV,,20.9,69,9,NNE,0.1,217,23,0,0
11/29/2019,31.76958333,2.337391304,30.39958333,49.61,4.51,70.67,DNV,,21.1,66,5,NNW,3.6,202,31,0,7
11/30/2019,56.98125,4.0675,29.38375,89.72,6.38,83.32,DNV,,21.6,83,4,SSE,1.2,173,33,0,34
12/1/2019,40.8125,2.8875,26.45583333,78.58,7.58,52.5,UCV,0.2,21.7,77,5,NNE,0,199,19,0,22
12/2/2019,17.31416667,0.710555556,24.025,53.07,2.95,45.14,UCV,,18.9,47,6,N,5.4,226,14,0,0
12/3/2019,33.32,1.021538462,29.96125,79.06,5.7,59.83,UCV,,17.9,48,5,NNE,9,224,16,0,0
12/4/2019,40.02666667,0.13,29.60166667,76.81,0.13,62.32,,,16.2,66,4,NNE,8.5,227,13,0,0
12/5/2019,23.6025,,33.29666667,42.28,,53.78,,,17.6,48,6,NNE,8.9,229,11,0,0
12/6/2019,24.53791667,,32.89791667,70.75,,55.36,,,17.1,46,5,N,8.7,226,14,0,0
12/7/2019,45.57625,,26.4,106.9,,68.72,,,15,58,3,N,8.4,219,21,0,0
12/8/2019,61.58166667,,28.30666667,109.1,,82.57,,,14.3,63,4,N,7.9,210,30,0,0
12/9/2019,61.82208333,,28.70166667,107.23,,87.63,,,15.1,66,4,ENE,7.6,211,29,0,0
12/10/2019,81.23458333,,30.95,176.3,,96.14,,,14.5,72,3,N,7.6,191,49,0,0
12/11/2019,85.55166667,,32.71166667,154.52,,99.81,,,15.3,74,3,NNE,8.3,195,45,0,0
12/12/2019,92.86666667,,41.99458333,176.25,,126.86,,,16.5,74,3,SSE,7.5,171,49,0,20
12/13/2019,105.8691667,,34.21875,186.03,,94.16,,,18.5,82,3,SSE,4.3,147,39,0,54
12/14/2019,114.5133333,,23.01208333,227.7,,77.14,,,19.6,87,3,NW,0.6,119,48,0,73
12/15/2019,44.12958333,,24.90791667,56.03,,47.63,,,22.1,87,5,NNW,2.5,51,29,0,160
12/16/2019,48.71333333,,11.32541667,73.97,,44.46,,,22.9,83,4,ESE,5.5,9,43,0,188
12/17/2019,44.16458333,1.073571429,9.574583333,73.67,1.89,28.08,RHV,,23.3,86,4,SE,4.8,27,26,0,187
12/18/2019,30.85958333,0.985416667,9.165833333,43.69,1.37,22.94,RHV,,24.4,83,5,SSE,5.1,0,30,0,210
12/19/2019,39.60695652,1.302608696,11.61695652,69.37,2.34,29.03,RHV,,23.1,82,7,NNW,2.5,32,33,0,175
12/20/2019,51.74416667,1.793333333,6.736666667,69.62,4.77,13.31,RHV,0,17.1,86,5,SSE,0,191,30,0,19
12/21/2019,45.96416667,1.572916667,2.127083333,76.05,2.46,4.2,RHV,2.2,16.1,94,3,SE,0,173,42,0,25
12/22/2019,35.19458333,1.157083333,2.155833333,71.01,1.94,6.26,RHV,1.5,16.5,92,3,NNE,0,156,38,0,46
12/23/2019,77.56958333,2.633478261,1.664583333,148.83,5.17,13.73,RHV,1.3,17.8,94,3,NNE,0,107,20,0,113
12/24/2019,106.5770833,2.875416667,9.349583333,175.03,4.82,43.46,DNV,,21.4,90,3,SE,2.8,9,22,0,209
12/25/2019,32.38083333,0.967916667,8.64,65.78,2,24.69,RHV,,23.3,82,5,SSE,5.7,22,18,0,200
12/26/2019,33.66583333,1.4975,11.98625,114.45,14.28,28.45,RHV,0,21.9,82,6,NNE,0.5,49,31,0,160
12/27/2019,19.71916667,0.909583333,14.26833333,31.09,1.62,20.96,RHV,,16.9,63,6,NNE,0,217,23,0,0
12/28/2019,54.80041667,1.950416667,14.28458333,105.92,3.85,27.67,RHV,,17.2,66,4,NNE,0,183,57,0,0
12/29/2019,66.23208333,2.36625,20.73541667,111.56,5.14,56.74,UCV,,18.6,79,4,NNW,5.6,148,84,0,8
12/30/2019,61.42458333,3.314583333,12.76125,110.87,9.27,45.66,UCV,,19.7,82,4,NNW,0.8,123,81,0,36
12/31/2019,65.67875,,9.750833333,,,,,0.3,20.6,84,4,N,0,216,24,0,0
