,BC,O3,PM2.5,MERRA2-BC
2019-05-22 09,,28.24,26.78,1.8356695270538337
2019-05-22 10,,41.81,20.3,1.8916944169998176
2019-05-22 11,,46.58,22.14,2.055821790695191
2019-05-22 12,,47.92,19.96,2.3242318630218515
2019-05-22 13,,57.09,16.38,2.590932178497316
2019-05-22 14,,68.23,18.07,2.8663271141052262
2019-05-22 15,,70.36,20.06,3.1467789173126244
2019-05-22 16,,61.32,21.25,3.423665542602542
2019-05-22 17,,56.6,22.39,3.6846539878845257
2019-05-22 18,,46.51,22.9,3.911081819534307
2019-05-22 19,,35.98,24.28,4.060930404663091
2019-05-22 20,,28.76,28.5,4.1697427558898985
2019-05-22 21,,28.1,39.93,4.270696249008186
2019-05-22 22,,29.05,58.9,4.378998832702644
2019-05-22 23,,32.63,64.21,4.029389228820807
2019-05-23 00,,35.32,57.89,3.016975793838504
2019-05-23 01,,16.39,45.28,2.3831670475006126
2019-05-23 02,,14.87,38.96,2.112338547706606
2019-05-23 03,,16.21,33.26,1.6201192760467549
2019-05-23 04,,15.11,34.84,1.4335091495513934
2019-05-23 05,,11.07,39.87,1.3278442811965958
2019-05-23 06,,12.33,42.57,1.672960944175723
2019-05-23 07,,,,1.653515925407412
2019-05-23 08,,32.32,26.78,1.6635931348800683
2019-05-23 09,,40.63,31.21,1.7048841476440453
2019-05-23 10,,47.61,34.44,1.8444734811782864
2019-05-23 11,,80.15,36.17,1.993230376243594
2019-05-23 12,,112.93,31.06,2.075466909408572
2019-05-23 13,,129.02,32.63,2.108954825401309
2019-05-23 14,,114.45,36.89,2.122252607345584
2019-05-23 15,,87.38,36.88,2.1251987314224268
2019-05-23 16,,79.73,40.82,2.0981340217590354
2019-05-23 17,,77.57,48.72,2.0330149030685445
2019-05-23 18,,67.23,46.45,1.9930668592453027
2019-05-23 19,,48.07,40.36,1.9163238620758083
2019-05-23 20,,45.33,33.8,1.9065014028549228
2019-05-23 21,,41.01,32.9,1.905209460258488
2019-05-23 22,,52.05,28.71,1.9892103719711351
2019-05-23 23,,39.88,28.02,2.1288542604446468
2019-05-24 00,,15.73,28.93,2.011256647109992
2019-05-24 01,,6.48,25.29,1.7095681262016351
2019-05-24 02,,10.23,29.65,1.4939999079704331
2019-05-24 03,,27.11,30.0,1.7443743848800717
2019-05-24 04,,33.08,34.65,1.5202749681472822
2019-05-24 05,,23.47,30.26,1.379366962909702
2019-05-24 06,,17.34,22.58,1.662810993194584
2019-05-24 07,,16.27,15.95,1.5932164382934606
2019-05-24 08,,36.32,11.69,1.547468900680545
2019-05-24 09,,30.24,11.65,1.5201839876174956
2019-05-24 10,,30.94,12.28,1.5811747646331815
2019-05-24 11,,47.13,16.19,1.6768717241287263
2019-05-24 12,,53.41,13.19,1.737917065620426
2019-05-24 13,,54.95,13.31,1.7825914812088048
2019-05-24 14,,54.78,12.33,1.824064335823063
2019-05-24 15,,38.44,13.51,1.8507489252090497
2019-05-24 16,,35.2,16.84,1.832250032424931
2019-05-24 17,,34.81,15.27,1.864537191390996
2019-05-24 18,,37.32,16.29,1.933240036964422
2019-05-24 19,,41.23,9.13,2.0371409559249942
2019-05-24 20,,41.06,6.57,2.2119646525383074
2019-05-24 21,,36.08,6.93,2.462820668220529
2019-05-24 22,,32.45,8.62,2.765791544914256
2019-05-24 23,,14.35,17.21,3.060758872032177
2019-05-25 00,,24.92,14.34,2.9562580013275253
2019-05-25 01,,12.39,16.95,2.2390304899215763
2019-05-25 02,,9.47,16.71,1.6131706953048737
2019-05-25 03,,19.19,17.0,1.323096504211427
2019-05-25 04,,19.19,17.97,1.1372503709793096
2019-05-25 05,,9.98,24.7,1.009593863487244
2019-05-25 06,,4.18,24.17,1.2402415657043453
2019-05-25 07,,4.95,21.98,1.1453266954421994
2019-05-25 08,,14.33,16.91,1.0838448333740234
2019-05-25 09,,29.52,13.12,1.0755684232711795
2019-05-25 10,,51.13,13.23,1.164262368679048
2019-05-25 11,,53.26,12.98,1.2492637133598343
2019-05-25 12,,62.28,11.92,1.3169846773147604
2019-05-25 13,,69.53,11.12,1.3544377303123498
2019-05-25 14,,76.7,13.02,1.378793976306918
2019-05-25 15,,80.41,13.87,1.4193392634391817
2019-05-25 16,,65.48,13.97,1.503394861221317
2019-05-25 17,,60.89,21.92,1.6401283979415937
2019-05-25 18,,50.88,24.33,1.843218255043035
2019-05-25 19,,44.15,8.68,2.078850297927863
2019-05-25 20,,40.21,13.01,2.342185325622566
2019-05-25 21,,19.21,19.29,2.581054968833932
2019-05-25 22,,10.87,21.27,2.804390473365793
2019-05-25 23,,5.04,25.69,2.98545286655427
2019-05-26 00,,10.25,29.88,2.96047794342042
2019-05-26 01,,21.79,23.56,2.32264929771424
2019-05-26 02,,20.99,20.55,1.828975706100468
2019-05-26 03,,15.95,20.28,1.791377139091494
2019-05-26 04,,8.9,20.9,1.5807927465438851
2019-05-26 05,,3.26,21.58,1.481239433288574
2019-05-26 06,,5.13,22.93,2.114284133911132
2019-05-26 07,,8.39,28.63,1.9887738609313952
2019-05-26 08,,21.55,22.63,1.8491118240356437
2019-05-26 09,,48.66,22.68,1.708212990760802
2019-05-26 10,,82.89,24.53,1.7575621843338003
2019-05-26 11,,102.15,24.67,1.907610530853272
2019-05-26 12,,113.67,22.8,2.0258813333511374
2019-05-26 13,,124.84,21.57,2.112392754554752
2019-05-26 14,,126.4,20.13,2.1757123136520438
2019-05-26 15,,121.35,19.1,2.244143552780157
2019-05-26 16,,106.31,20.4,2.3466283750534127
2019-05-26 17,,70.02,20.39,2.501678490638741
2019-05-26 18,,61.56,18.48,2.7163334369659515
2019-05-26 19,,34.9,22.2,2.9734123611450296
2019-05-26 20,,35.75,26.44,3.2655597209930534
2019-05-26 21,,36.93,32.17,3.5555602598190434
2019-05-26 22,,25.14,43.8,3.805252952575697
2019-05-26 23,,23.31,36.3,4.018930387496963
2019-05-27 00,,31.64,13.47,3.957302527427687
2019-05-27 01,,29.65,9.58,2.9287370109558184
2019-05-27 02,,32.05,11.59,2.1373152637481723
2019-05-27 03,,24.63,14.94,1.8336688327789328
2019-05-27 04,,22.79,11.55,1.7178543615341202
2019-05-27 05,,18.35,8.91,1.6469870042800918
2019-05-27 06,,9.09,14.01,1.607404518127443
2019-05-27 07,,8.87,38.34,1.568441829681398
2019-05-27 08,,11.71,35.21,1.4893339681625382
2019-05-27 09,,15.81,39.29,1.3747376060485856
2019-05-27 10,,30.29,43.51,1.4470425033569354
2019-05-27 11,,,,1.61362545013428
2019-05-27 12,,,,1.7589809751510654
2019-05-27 13,,,,1.8411991834640544
2019-05-27 14,,,,1.8497303724288987
2019-05-27 15,,,,1.8153513383865405
2019-05-27 16,,,,1.7659477186203043
2019-05-27 17,,,,1.712978730201725
2019-05-27 18,,,,1.6993726253509556
2019-05-27 19,,,,1.7256752681732213
2019-05-27 20,,,,1.7540881109237707
2019-05-27 21,,,,1.764383373260502
2019-05-27 22,,,,1.742446355819706
2019-05-27 23,,,,1.7007007408142127
2019-05-28 00,,,,1.6523518133163486
2019-05-28 01,,,,1.3319005632400536
2019-05-28 02,,,,1.0601622557640091
2019-05-28 03,,,,0.9895939803123482
2019-05-28 04,,,,0.9526233983039862
2019-05-28 05,,,,0.9365711283683782
2019-05-28 06,,,,0.9903215122222908
2019-05-28 07,,,,0.9755604386329656
2019-05-28 08,,,,1.00440952539444
2019-05-28 09,,,,1.1411793613433845
2019-05-28 10,,,,1.3539465475082408
2019-05-28 11,,,,1.549178681373598
2019-05-28 12,,,,1.6861486101150536
2019-05-28 13,,,,1.752450723648074
2019-05-28 14,,,,1.798198394775394
2019-05-28 15,,,,1.84798408031464
2019-05-28 16,,,,1.8835089349746743
2019-05-28 17,,,,1.923854069709782
2019-05-28 18,,,,1.958433165550236
2019-05-28 19,,,,1.92978421211243
2019-05-28 20,,,,1.951194186210635
2019-05-28 21,,,,1.9159233236312885
2019-05-28 22,,,,1.948974623680116
2019-05-28 23,,,,2.068446502685548
2019-05-29 00,,,,2.122288150787355
2019-05-29 01,,,,1.7656036186218282
2019-05-29 02,,,,1.4074992609024068
2019-05-29 03,,,,1.2260898280143762
2019-05-29 04,,,,1.1498286914825464
2019-05-29 05,,,,1.060934689044955
2019-05-29 06,,,,1.027392470836642
2019-05-29 07,,,,1.0555686211586028
2019-05-29 08,,,,1.1755764508247413
2019-05-29 09,,,,1.3253611826896712
2019-05-29 10,,,,1.6785270094871585
2019-05-29 11,,,,1.823727941513068
2019-05-29 12,,,,1.9569598293304509
2019-05-29 13,,,,2.0898915195465158
2019-05-29 14,,,,2.244869370460517
2019-05-29 15,,,,2.360102281570442
2019-05-29 16,,,,2.4631663084030238
2019-05-29 17,,,,2.538854398727425
2019-05-29 18,,,,2.59555242538453
2019-05-29 19,,,,2.671749877929696
2019-05-29 20,,,,2.685810666084297
2019-05-29 21,,,,2.678043503761299
2019-05-29 22,,,,2.7587338829040604
2019-05-29 23,,,,2.906963539123543
2019-05-30 00,,,,2.7360328531265328
2019-05-30 01,,,,2.379492769241338
2019-05-30 02,,,,2.131873745918277
2019-05-30 03,,,,1.9105209636688243
2019-05-30 04,,,,1.740700125694274
2019-05-30 05,,,,1.5909972476959204
2019-05-30 06,,,,1.4858233165740935
2019-05-30 07,,,,1.3487806558608977
2019-05-30 08,,,,1.2549753999710052
2019-05-30 09,,,,1.250209631919858
2019-05-30 10,,,,1.281914567947385
2019-05-30 11,,,,1.4866236782073956
2019-05-30 12,,,,1.7520141935348512
2019-05-30 13,,,,1.8841274070739764
2019-05-30 14,,,,1.87399563789368
2019-05-30 15,,,,1.7874844741821323
2019-05-30 16,,,,1.6941339492797889
2019-05-30 17,,,,1.6403828525543247
2019-05-30 18,,,,1.597509222030643
2019-05-30 19,,,,1.5609293365478547
2019-05-30 20,,,,1.5128171157836945
2019-05-30 21,,,,1.499902229309085
2019-05-30 22,,,,1.5023034572601346
2019-05-30 23,,,,1.5041587781906156
2019-05-31 00,,,,1.4443867540359523
2019-05-31 01,,,,1.1417255687713643
2019-05-31 02,,,,0.8793454980850233
2019-05-31 03,,,,0.778454713821412
2019-05-31 04,,,,0.7343896889686593
2019-05-31 05,,,,0.713080241680146
2019-05-31 06,,,,0.7183280205726631
2019-05-31 07,,,,0.7318249154090888
2019-05-31 08,,,,0.8089227819442759
2019-05-31 09,,,,0.9125051164627088
2019-05-31 10,,,,0.9948234724998484
2019-05-31 11,,,,1.0451458525657664
2019-05-31 12,,,,1.1580414080619823
2019-05-31 13,,,,1.270618643760683
2019-05-31 14,,,,1.3621865606308006
2019-05-31 15,,,,1.3744647932052634
2019-05-31 16,,,,1.4325633287429833
2019-05-31 17,,,,1.480020689964297
2019-05-31 18,,,,1.499702215194705
2019-05-31 19,,,,1.511525616645816
2019-05-31 20,,,,1.5450313878059423
2019-05-31 21,,,,1.632815880775456
2019-05-31 22,,,,1.7901766538620043
2019-05-31 23,,,,1.9672733974456844
2019-06-01 00,,,16.41,1.9864455223083544
2019-06-01 01,,,15.69,1.8789615869522147
2019-06-01 02,,,13.1,1.99406836032868
2019-06-01 03,,,9.01,2.014785356521612
2019-06-01 04,,,10.18,2.012493405342106
2019-06-01 05,,,13.19,2.0168955183029205
2019-06-01 06,,,10.31,2.005017414093019
2019-06-01 07,,,9.95,1.930857276916504
2019-06-01 08,,,11.03,1.8446007871627803
2019-06-01 09,,,8.44,1.84369128704071
2019-06-01 10,,,8.3,1.9120852518081664
2019-06-01 11,,,10.32,2.0253356647491456
2019-06-01 12,,,11.02,2.1991945648193365
2019-06-01 13,,,8.38,2.3681424140930183
2019-06-01 14,,,14.3,2.5293048477172864
2019-06-01 15,,,11.16,2.6701673507690447
2019-06-01 16,,,14.48,2.7966234683990496
2019-06-01 17,,,9.84,2.9120200824737568
2019-06-01 18,,,8.31,3.0073716068267844
2019-06-01 19,,,8.51,3.0907904624938984
2019-06-01 20,,,8.45,3.279274187088015
2019-06-01 21,,,11.09,3.440909500122072
2019-06-01 22,,,14.52,3.610221118927004
2019-06-01 23,,,12.42,3.795212326049807
2019-06-02 00,,,12.73,3.282875909805298
2019-06-02 01,,,13.32,2.400738868713378
2019-06-02 02,,,13.37,1.994740438461303
2019-06-02 03,,,17.53,1.5588011503219594
2019-06-02 04,,,23.46,1.4355827808380115
2019-06-02 05,,,25.56,1.3312455797195424
2019-06-02 06,,,31.74,1.1240809106826768
2019-06-02 07,,,28.31,1.0980329036712635
2019-06-02 08,,,19.5,1.1066186094284047
2019-06-02 09,,,12.95,1.1652445840835564
2019-06-02 10,,,15.47,1.2217969560623163
2019-06-02 11,,,13.58,1.395001182556152
2019-06-02 12,,,8.68,1.6658305025100708
2019-06-02 13,,,9.14,1.9099934530258185
2019-06-02 14,,,9.48,2.137712831497193
2019-06-02 15,,,9.62,2.357992296218873
2019-06-02 16,,,10.57,2.5568079471588145
2019-06-02 17,,,11.5,2.7387432479858407
2019-06-02 18,,,18.52,2.9487274360656746
2019-06-02 19,,,19.18,3.1928357982635505
2019-06-02 20,,,23.66,3.4603001403808604
2019-06-02 21,,,19.69,3.7203789806365983
2019-06-02 22,,,17.25,3.960995416641238
2019-06-02 23,,,12.14,3.9128288364410433
2019-06-03 00,,,11.78,2.6510315513610854
2019-06-03 01,,,14.28,1.910775904655457
2019-06-03 02,,,23.33,1.512453832626343
2019-06-03 03,,,22.79,1.3852695274353026
2019-06-03 04,,,20.75,1.2206510734558105
2019-06-03 05,,,23.96,1.1142765569686883
2019-06-03 06,,,27.81,1.3715725994110093
2019-06-03 07,,,21.16,1.2626696920394882
2019-06-03 08,,,15.52,1.2013334083557117
2019-06-03 09,,,17.24,1.165753903388976
2019-06-03 10,,,36.08,1.1448537158966057
2019-06-03 11,,,48.13,1.3296994829177855
2019-06-03 12,,,38.61,1.544431109428407
2019-06-03 13,,,36.07,1.698663225173952
2019-06-03 14,,,35.34,1.8140781497955347
2019-06-03 15,,,30.7,1.9367507934570345
2019-06-03 16,,,33.12,2.0374318504333533
2019-06-03 17,,,37.87,2.18169582843781
2019-06-03 18,,,37.95,2.3363826847076474
2019-06-03 19,,,35.91,2.53538050651551
2019-06-03 20,,,29.83,2.733523159027108
2019-06-03 21,,,26.62,2.922934074401865
2019-06-03 22,,,31.34,3.1157651042938337
2019-06-03 23,,,27.57,3.290933876037609
2019-06-04 00,,,28.67,3.118766469955455
2019-06-04 01,,,33.04,2.277793068885809
2019-06-04 02,,,34.61,1.4092438030242938
2019-06-04 03,,,36.93,1.1060910511016848
2019-06-04 04,,,36.43,0.9685572671890256
2019-06-04 05,,,44.63,0.8829010987281793
2019-06-04 06,,,31.32,0.8348433804512018
2019-06-04 07,,,22.85,0.8307506418228143
2019-06-04 08,,,13.29,0.8410097622871393
2019-06-04 09,,,11.48,0.8527786254882807
2019-06-04 10,,,10.0,1.0103940582275386
2019-06-04 11,,,,1.263342714309693
2019-06-04 12,,,10.54,1.4431134653091446
2019-06-04 13,,,10.62,1.527223486900332
2019-06-04 14,,,12.72,1.5611840534210235
2019-06-04 15,,,,1.5700970840454134
2019-06-04 16,,,13.09,1.586558966636661
2019-06-04 17,,,13.04,1.6317246246337926
2019-06-04 18,,,23.51,1.715943708419804
2019-06-04 19,,,14.29,1.8387082052230883
2019-06-04 20,,,15.13,1.983663644790655
2019-06-04 21,,,23.91,2.1270716524124214
2019-06-04 22,,,30.78,2.2634230136871416
2019-06-04 23,,,42.3,2.3868779230117885
2019-06-05 00,,,45.72,2.213091650009163
2019-06-05 01,,,29.14,1.8961326837539731
2019-06-05 02,,,16.59,1.6262856626510669
2019-06-05 03,,,20.53,1.2559484815597577
2019-06-05 04,,,21.77,1.115868186950687
2019-06-05 05,,,19.52,1.0360872888565094
2019-06-05 06,,,23.06,0.985319244861605
2019-06-05 07,,,21.04,0.9762515783309956
2019-06-05 08,,,17.33,1.02581001520157
2019-06-05 09,,,11.31,1.1636893606185927
2019-06-05 10,,,8.83,1.3173484849929826
2019-06-05 11,,,7.39,1.462594833374025
2019-06-05 12,,,5.79,1.6097874689102192
2019-06-05 13,,,6.44,1.7452657794952415
2019-06-05 14,,,7.79,1.8602622413635284
2019-06-05 15,,,,1.9506841564178503
2019-06-05 16,,,14.26,2.00685458183289
2019-06-05 17,,,19.81,2.0394691801071216
2019-06-05 18,,,6.47,2.0708284807205253
2019-06-05 19,,,10.47,2.134529585838324
2019-06-05 20,,,12.68,2.2443786621093813
2019-06-05 21,,,18.63,2.4019029331207347
2019-06-05 22,,,25.32,2.607886023521432
2019-06-05 23,,,34.39,2.850903406143197
2019-06-06 00,,,27.27,3.0493173646926977
2019-06-06 01,,,22.72,2.8232355260849085
2019-06-06 02,,,17.23,2.1351849794387867
2019-06-06 03,,,14.57,1.6481499052047754
2019-06-06 04,,,14.41,1.38077663421631
2019-06-06 05,,,16.47,1.236985511779786
2019-06-06 06,,,16.97,1.1559131431579583
2019-06-06 07,,,16.88,1.132484607696533
2019-06-06 08,,,15.96,1.1055636215209956
2019-06-06 09,,,12.53,1.1223710393905637
2019-06-06 10,,,12.6,1.2936289024353027
2019-06-06 11,,,9.75,1.5103432512283337
2019-06-06 12,,,8.36,1.6857848358154317
2019-06-06 13,,,8.32,1.82464646816254
2019-06-06 14,,,10.33,1.937096328735356
2019-06-06 15,,,9.74,2.0422521924972585
2019-06-06 16,,,5.66,2.155593314170843
2019-06-06 17,0.47,,6.35,2.274991850852973
2019-06-06 18,0.68,,7.71,2.3581014394760205
2019-06-06 19,0.59,,7.43,2.364395174980171
2019-06-06 20,0.99,,9.87,2.3348729419708327
2019-06-06 21,1.71,,18.07,2.371434726715096
2019-06-06 22,2.13,,59.6,2.561773738861093
2019-06-06 23,1.98,,75.06,2.881115713119517
2019-06-07 00,1.56,,56.99,3.1550370407104618
2019-06-07 01,1.5,,38.35,2.9040347242355464
2019-06-07 02,0.75,,32.01,2.1194591283798294
2019-06-07 03,0.52,,18.48,0.9007271432876612
2019-06-07 04,0.48,,13.93,0.8356801211833976
2019-06-07 05,0.57,,12.52,0.7952894854545614
2019-06-07 06,0.48,,14.52,0.826012165546419
2019-06-07 07,0.59,,19.0,0.8300958013534564
2019-06-07 08,0.87,,19.78,0.8794995498657245
2019-06-07 09,0.94,,18.98,1.040652906894686
2019-06-07 10,0.66,,17.81,1.212738454341891
2019-06-07 11,0.74,,18.94,1.3362841987609897
2019-06-07 12,0.7,,16.99,1.4336273956298864
2019-06-07 13,0.68,,16.48,1.5045588850975078
2019-06-07 14,0.7,,18.36,1.5545174407959028
2019-06-07 15,0.74,,16.08,1.5978093957901047
2019-06-07 16,0.93,,15.15,1.630378422737126
2019-06-07 17,,,,1.708049278259282
2019-06-07 18,,,,1.8257196712493944
2019-06-07 19,,,,1.998287386894232
2019-06-07 20,,,,2.1892452239990305
2019-06-07 21,,,,2.3987559604644857
2019-06-07 22,,,,2.626129550933848
2019-06-07 23,,,,2.8607610797882197
2019-06-08 00,,,,3.055501985549939
2019-06-08 01,,,,2.976667065620434
2019-06-08 02,,,,2.619745202064523
2019-06-08 03,,,,2.549477343559272
2019-06-08 04,,,,2.1718006181716967
2019-06-08 05,,,,1.8928403997421293
2019-06-08 06,,,,1.8291575813293464
2019-06-08 07,,,,1.676053218841553
2019-06-08 08,,,,1.5401747417449942
2019-06-08 09,,,,1.5022305870056138
2019-06-08 10,,,,1.6234480285644524
2019-06-08 11,,,,1.793741850852967
2019-06-08 12,,,,1.902135329246523
2019-06-08 13,,,,1.9357867288589512
2019-06-08 14,,,,1.9213802528381392
2019-06-08 15,,,,1.9208891725540211
2019-06-08 16,,,,1.9469735050201475
2019-06-08 17,,,,1.991375010013587
2019-06-08 18,,,,2.0523111128807137
2019-06-08 19,,,,2.116266784667976
2019-06-08 20,,,,2.147953743934638
2019-06-08 21,,,,2.1090271759033263
2019-06-08 22,,,,2.0303559398651174
2019-06-08 23,,,,1.958596982955937
2019-06-09 00,,,,1.873559126853948
2019-06-09 01,,,,1.659373328685765
2019-06-09 02,,,,1.292928967475894
2019-06-09 03,,,,1.3391217803955084
2019-06-09 04,,,,1.0667463541030888
2019-06-09 05,,,,0.897507553100586
2019-06-09 06,,,,0.961445055007934
2019-06-09 07,,,,0.9437644433975216
2019-06-09 08,,,,1.0231270170211793
2019-06-09 09,,,,1.1944211912155156
2019-06-09 10,,,,1.4149555015563977
2019-06-09 11,,,,1.653734259605409
2019-06-09 12,,,,1.896460208892824
2019-06-09 13,,,,2.145061402320864
2019-06-09 14,,,,2.394117507934573
2019-06-09 15,,,,2.6404450511932414
2019-06-09 16,,,,2.8594877243042043
2019-06-09 17,,,,3.0612865829467832
2019-06-09 18,,,,3.285713338851936
2019-06-09 19,,,,3.5269480991363595
2019-06-09 20,,,,3.7514476776123113
2019-06-09 21,,,,3.918030452728278
2019-06-09 22,,,,4.042231616973883
2019-06-09 23,,,,4.1918623638153125
2019-06-10 00,,,,3.833156404495243
2019-06-10 01,,,,2.6740235996246344
2019-06-10 02,,,,1.825428628921508
2019-06-10 03,,,,1.4664328479766828
2019-06-10 04,,,,1.3007047843933086
2019-06-10 05,,,,1.2190867567062356
2019-06-10 06,,,,1.3473618507385228
2019-06-10 07,,,,1.3375028848648045
2019-06-10 08,,,,1.2745658206939663
2019-06-10 09,,,,1.2387318229675262
2019-06-10 10,,,,1.3500539112091032
2019-06-10 11,,,,1.7137790679931617
2019-06-10 12,,,,2.076412830352782
2019-06-10 13,,,,2.331944370269776
2019-06-10 14,,,,2.462038488388064
2019-06-10 15,,,,2.5300686740875284
2019-06-10 16,,,,2.6151974964141904
2019-06-10 17,,,,2.74852937698365
2019-06-10 18,,,,2.9439070796966647
2019-06-10 19,,,,3.203567700386058
2019-06-10 20,,,,3.529166769981396
2019-06-10 21,,,,3.882851228714002
2019-06-10 22,,,,4.2047032260894905
2019-06-10 23,,,,4.427565584182752
2019-06-11 00,,,,4.531975708007825
2019-06-11 01,,,,3.866443786621101
2019-06-11 02,,,,2.958113250732422
2019-06-11 03,,,,2.438173341751096
2019-06-11 04,,,,1.9684375095367397
2019-06-11 05,,,,1.5425030326843214
2019-06-11 06,,,,1.2441159439086866
2019-06-11 07,,,,1.0546318769454912
2019-06-11 08,,,,0.9074756431579548
2019-06-11 09,,,,0.6994377946853609
2019-06-11 10,,,,0.6974005413055397
2019-06-11 11,,,,0.9502400398254376
2019-06-11 12,,,,1.2790405750274647
2019-06-11 13,,,,1.608914346694946
2019-06-11 14,,,,1.901316866874696
2019-06-11 15,,,,2.141659960746768
2019-06-11 16,,,,2.355100092887883
2019-06-11 17,,,,2.572233119010931
2019-06-11 18,,,,2.810702524185188
2019-06-11 19,,,,3.0745105314254846
2019-06-11 20,,,,3.35716314792634
2019-06-11 21,,,,3.6328491878509617
2019-06-11 22,,,,3.90762583732606
2019-06-11 23,,,,4.142457313537606
2019-06-12 00,,,,3.936802272796637
2019-06-12 01,,,,3.10843465805054
2019-06-12 02,,,,2.4262771606445304
2019-06-12 03,,,,1.9036815261840805
2019-06-12 04,,,,1.5921250438690169
2019-06-12 05,,,,1.407661361694334
2019-06-12 06,,,,1.376465620994566
2019-06-12 07,,,,1.2855525588989238
2019-06-12 08,,,,1.13801435947418
2019-06-12 09,,,,1.018379397392271
2019-06-12 10,,,,1.0946314477920516
2019-06-12 11,,,,1.33804859638214
2019-06-12 12,,,,1.572971076965332
2019-06-12 13,,,,1.7810270690917982
2019-06-12 14,,,,1.9672915220260645
2019-06-12 15,,,,2.165797991752628
2019-06-12 16,,,,2.4317705488205
2019-06-12 17,,,,2.7948408222198533
2019-06-12 18,,,,3.199602470397954
2019-06-12 19,,,,3.547611494064335
2019-06-12 20,,,,3.7724021625518818
2019-06-12 21,,,,3.8876168060302727
2019-06-12 22,,,,3.9853329467773406
2019-06-12 23,,,,4.04463199615478
2019-06-13 00,,,,3.327731971740713
2019-06-13 01,,,,1.926018800735466
2019-06-13 02,,,,1.2862075901031442
2019-06-13 03,,,,0.9303585290908782
2019-06-13 04,,,,0.7666134166717506
2019-06-13 05,,,,0.6758098888397198
2019-06-13 06,,,,0.6069058012962326
2019-06-13 07,,,,0.5460424137115467
2019-06-13 08,,,,0.5134643197059623
2019-06-13 09,,,,0.5162746667861933
2019-06-13 10,,,,0.618156266212463
2019-06-13 11,,,,0.8776624083518981
2019-06-13 12,,,,1.1771044349670412
2019-06-13 13,,,,1.509633865356446
2019-06-13 14,,,,1.803873605728151
2019-06-13 15,,,,1.987045884132388
2019-06-13 16,,,,2.095966868400577
2019-06-13 17,,,,2.2444873571395925
2019-06-13 18,,,,2.4922883987426823
2019-06-13 19,,,,2.7831629085540848
2019-06-13 20,,,,3.073291759490975
2019-06-13 21,,,,3.3874311542511077
2019-06-13 22,,,,3.698551187515268
2019-06-13 23,,,,3.9543011188507178
2019-06-14 00,,,,3.992609090805063
2019-06-14 01,,,,3.4632102680206374
2019-06-14 02,,,,2.6730048847198526
2019-06-14 03,,,,2.122324128150942
2019-06-14 04,,,,1.8050195360183725
2019-06-14 05,,,,1.5819205284118651
2019-06-14 06,,,,1.4201941585540765
2019-06-14 07,,,,1.2781129074096669
2019-06-14 08,,,,1.0777148342132552
2019-06-14 09,,,,0.9074756336212144
2019-06-14 10,,,,0.9558789253234852
2019-06-14 11,,,,1.121170535087585
2019-06-14 12,,,,1.2969940471649166
2019-06-14 13,,,,1.487551364898682
2019-06-14 14,,,,1.68773114681244
2019-06-14 15,,,,1.876014728546145
2019-06-14 16,,,,1.9960498666763344
2019-06-14 17,,,,2.1784944391250662
2019-06-14 18,,,,2.442957415580756
2019-06-14 19,,,,2.757915358543404
2019-06-14 20,,,,3.09868486881257
2019-06-14 21,,,,3.456116194725046
2019-06-14 22,,,,3.7885546779632655
2019-06-14 23,,,,4.0681333732605065
2019-06-15 00,,,,4.054781961441047
2019-06-15 01,,,,3.037348442077636
2019-06-15 02,,,,2.452616157531736
2019-06-15 03,,,,1.8951323223113976
2019-06-15 04,,,,1.426960763931271
2019-06-15 05,,,,1.114931387901303
2019-06-15 06,,,,0.9252289962768528
2019-06-15 07,,,,0.7962444353103616
2019-06-15 08,,,,0.7006565213203413
2019-06-15 09,,,,0.6831305837631212
2019-06-15 10,,,,0.8966526460647573
2019-06-15 11,,,,1.236785554885864
2019-06-15 12,,,,1.5189653015136726
2019-06-15 13,,,,1.6951344347000137
2019-06-15 14,,,,1.8067294168472317
2019-06-15 15,,,,1.9284743928909336
2019-06-15 16,,,,2.1048617982864424
2019-06-15 17,,,,2.3469874048233086
2019-06-15 18,,,,2.596025338172918
2019-06-15 19,,,,2.808665065765385
2019-06-15 20,,,,2.9572766017913854
2019-06-15 21,,,,3.0474256801605244
2019-06-15 22,,,,3.1213494014739998
2019-06-15 23,,,,3.171444387435912
2019-06-16 00,,,,2.2473250007629355
2019-06-16 01,,,,1.3515818309783891
2019-06-16 02,,,,0.9981522417068448
2019-06-16 03,,,,1.0084841203689547
2019-06-16 04,,,,0.904692564010618
2019-06-16 05,,,,0.8340430355072007
2019-06-16 06,,,,0.7995549821853628
2019-06-16 07,,,,0.7913513469696039
2019-06-16 08,,,,0.813743093013763
2019-06-16 09,,,,0.7812923407554622
2019-06-16 10,,,,0.8258212018012998
2019-06-16 11,,,,1.0706753540039062
2019-06-16 12,,,,1.3555108547210697
2019-06-16 13,,,,1.6725607776641858
2019-06-16 14,,,,1.9839899015426656
2019-06-16 15,,,,2.23208187580109
2019-06-16 16,,,,2.4020300912857104
2019-06-16 17,,,,2.548622431755072
2019-06-16 18,,,,2.693086628913887
2019-06-16 19,,,,2.8615796184539883
2019-06-16 20,,,,3.082695908546458
2019-06-16 21,,,,3.3507422018051254
2019-06-16 22,,,,3.6122946262359727
2019-06-16 23,,,,3.834611568450939
2019-06-17 00,,,,3.7453355884552098
2019-06-17 01,,,,2.413289632797244
