datetime,lat,lon,cluster
2019-11-12 07:00:00,21.0,105.8,1
2019-11-13 19:00:00,21.0,105.8,1
2019-11-14 07:00:00,21.0,105.8,1
2019-11-14 19:00:00,21.0,105.8,1
2019-11-15 07:00:00,21.0,105.8,1
2019-11-18 19:00:00,21.0,105.8,1
2019-11-19 07:00:00,21.0,105.8,1
2019-11-19 19:00:00,21.0,105.8,1
2019-11-20 07:00:00,21.0,105.8,1
2019-11-20 19:00:00,21.0,105.8,1
2019-11-21 07:00:00,21.0,105.8,1
2019-11-21 19:00:00,21.0,105.8,1
2019-11-22 07:00:00,21.0,105.8,1
2019-11-25 19:00:00,21.0,105.8,1
2019-11-26 07:00:00,21.0,105.8,1
2019-11-28 07:00:00,21.0,105.8,1
2019-11-28 19:00:00,21.0,105.8,1
2019-11-29 07:00:00,21.0,105.8,1
2019-12-01 19:00:00,21.0,105.8,1
2019-12-02 07:00:00,21.0,105.8,1
2019-12-02 19:00:00,21.0,105.8,1
2019-12-03 07:00:00,21.0,105.8,1
2019-12-03 19:00:00,21.0,105.8,1
2019-12-04 07:00:00,21.0,105.8,1
2019-12-04 19:00:00,21.0,105.8,1
2019-12-05 07:00:00,21.0,105.8,1
2019-12-05 19:00:00,21.0,105.8,1
2019-12-06 07:00:00,21.0,105.8,1
2019-12-06 19:00:00,21.0,105.8,1
2019-12-07 07:00:00,21.0,105.8,1
2019-12-07 19:00:00,21.0,105.8,1
2019-12-08 07:00:00,21.0,105.8,1
2019-12-08 19:00:00,21.0,105.8,1
2019-12-09 07:00:00,21.0,105.8,1
2019-12-09 19:00:00,21.0,105.8,1
2019-12-10 07:00:00,21.0,105.8,1
2019-12-10 19:00:00,21.0,105.8,1
2019-12-11 07:00:00,21.0,105.8,1
2019-12-11 19:00:00,21.0,105.8,1
2019-12-12 07:00:00,21.0,105.8,1
2019-12-26 19:00:00,21.0,105.8,1
2019-12-27 07:00:00,21.0,105.8,1
2019-12-27 19:00:00,21.0,105.8,1
2019-12-28 07:00:00,21.0,105.8,1
2019-12-28 19:00:00,21.0,105.8,1
2019-12-30 19:00:00,21.0,105.8,1
2019-12-31 07:00:00,21.0,105.8,1
2019-12-31 19:00:00,21.0,105.8,1
2019-01-02 18:00:00,21.11,105.914,1
2019-01-03 06:00:00,21.093,105.852,1
2019-01-03 18:00:00,21.032,105.849,1
2019-01-04 06:00:00,21.068,105.863,1
2019-01-04 18:00:00,21.011,105.866,1
2019-01-05 06:00:00,21.016,105.857,1
2019-01-05 18:00:00,21.021,105.939,1
2019-01-06 06:00:00,20.961,105.859,1
2019-01-08 18:00:00,21.049,105.978,1
2019-01-09 06:00:00,21.018,105.938,1
2019-01-09 18:00:00,20.995,105.894,1
2019-01-10 06:00:00,20.938,105.884,1
2019-01-15 18:00:00,21.095,105.964,1
2019-01-16 06:00:00,21.122,105.97,1
2019-01-16 18:00:00,21.101,105.9,1
2019-01-17 06:00:00,21.073,105.929,1
2019-01-17 18:00:00,20.987,105.876,1
2019-01-18 06:00:00,20.9,105.745,1
2019-01-21 06:00:00,21.086,105.997,1
2019-01-21 18:00:00,21.143,106.01,1
2019-01-22 06:00:00,21.036,105.869,1
2019-01-22 18:00:00,21.027,105.853,1
2019-01-23 06:00:00,20.95,105.843,1
2019-02-23 18:00:00,21.086,105.951,1
2019-02-24 06:00:00,20.969,105.958,1
2019-02-25 06:00:00,20.957,105.959,1
2019-03-06 18:00:00,21.018,105.907,1
2019-03-07 06:00:00,20.998,105.956,1
2019-03-07 18:00:00,21.006,105.916,1
2019-03-08 06:00:00,20.894,105.832,1
2019-03-10 06:00:00,21.028,105.906,1
2019-03-10 18:00:00,21.071,105.863,1
2019-03-11 06:00:00,21.002,105.862,1
2019-03-11 18:00:00,21.053,105.885,1
2019-03-12 06:00:00,20.938,105.892,1
2019-03-15 06:00:00,21.062,106.004,1
2019-03-15 18:00:00,21.011,105.948,1
2019-03-16 06:00:00,20.896,105.915,1
2019-03-23 06:00:00,21.124,106.002,1
2019-03-23 18:00:00,21.077,106.02,1
2019-03-24 06:00:00,20.952,105.976,1
2019-03-25 06:00:00,20.922,105.881,1
2019-04-16 18:00:00,20.999,105.878,1
2019-04-17 06:00:00,20.868,105.778,1
2019-05-01 06:00:00,21.007,105.906,1
2019-05-01 18:00:00,20.97,105.858,1
2019-05-02 06:00:00,20.951,105.904,1
2019-05-09 18:00:00,20.991,105.933,1
2019-05-10 06:00:00,21.002,105.914,1
2019-05-10 18:00:00,20.943,105.853,1
2019-05-21 06:00:00,20.909,105.874,1
2019-05-21 18:00:00,21.012,105.856,1
2019-05-22 06:00:00,20.99,105.853,1
2019-05-22 18:00:00,20.971,105.817,1
2019-07-02 06:00:00,21.098,105.84,1
2019-07-02 18:00:00,21.124,105.76,1
2019-07-03 06:00:00,21.172,105.826,1
2019-07-03 18:00:00,21.01,105.762,1
2019-07-31 06:00:00,21.137,105.842,1
2019-07-31 18:00:00,21.155,105.72,1
2019-08-01 06:00:00,21.18,105.722,1
2019-08-24 06:00:00,21.159,105.819,1
2019-08-29 06:00:00,21.198,105.92,1
2019-08-29 18:00:00,21.087,106.066,1
2019-08-31 18:00:00,21.055,105.907,1
2019-09-01 06:00:00,21.109,105.903,1
2019-09-01 18:00:00,21.154,105.869,1
2019-09-02 06:00:00,21.259,105.927,1
2019-09-02 18:00:00,21.207,106.011,1
2019-09-03 06:00:00,21.242,105.97,1
2019-09-03 18:00:00,21.195,105.868,1
2019-09-04 06:00:00,21.171,105.882,1
2019-09-04 18:00:00,21.13,105.849,1
2019-09-05 06:00:00,21.127,105.836,1
2019-09-18 06:00:00,21.073,105.919,1
2019-09-18 18:00:00,21.077,105.912,1
2019-09-19 06:00:00,21.082,105.895,1
2019-09-19 18:00:00,21.02,105.892,1
2019-09-20 06:00:00,21.065,105.887,1
2019-09-20 18:00:00,21.195,105.898,1
2019-09-21 06:00:00,21.221,105.967,1
2019-09-21 18:00:00,21.175,105.869,1
2019-09-22 06:00:00,21.176,105.932,1
2019-09-22 18:00:00,21.109,105.854,1
2019-09-23 06:00:00,21.09,105.841,1
2019-09-23 18:00:00,21.079,105.88,1
2019-09-24 06:00:00,21.107,105.905,1
2019-09-24 18:00:00,21.084,105.881,1
2019-09-25 06:00:00,21.078,105.879,1
2019-09-25 18:00:00,21.046,105.891,1
2019-09-26 06:00:00,21.073,105.84,1
2019-09-26 18:00:00,21.083,105.893,1
2019-09-27 06:00:00,21.052,105.867,1
2019-09-27 18:00:00,21.006,105.916,1
2019-09-28 06:00:00,21.036,105.8,1
2019-10-07 06:00:00,21.102,105.953,1
2019-10-07 18:00:00,21.049,105.891,1
2019-10-13 18:00:00,21.041,105.937,1
2019-10-14 06:00:00,21.072,105.96,1
2019-10-14 18:00:00,21.092,105.956,1
2019-10-15 06:00:00,21.101,105.99,1
2019-10-15 18:00:00,21.04,105.979,1
