2023-10-06 21:00:16.051447+07:00,BacGiang,bac-giang,76,17,22,17,5,30,1009,79,5
2023-10-06 20:00:00,US-Embassy,@8641,153,2.9,8.3,10.2,0.1,29,1009.5,83,3.8
2023-10-06 21:00:00,Hanoi,@1583,89,7,18,20,5,29,1009.5,83,3.8
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-06 21:00:00,LangSon,lang-son,103,10,NA,NA,1,28.4,975.6,81.4,2
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-06 21:00:00,CanTho,can-tho,25,NA,2,3,2,26,1010,100,0.5
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-06 21:00:00,CaoBang,cao-bang,42,8,NA,1,NA,27.9,980.1,82.3,1
2023-10-06 21:00:00,TayNinh,tay-ninh,NA,NA,1,8,3,29.5,1009.8,81.5,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-06 21:00:00,DaNang,da-nang,14,5,16,13,5,26,1010,94,1
2023-10-06 21:00:00,Hue,hue,10,1,10,10,14,27,1009,88,0.5
2023-10-06 21:00:00,NhaTrang,nha-trang,13,10,2,13,7,26,1011,88,1.2
2023-10-06 22:00:13.490625+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
2023-10-06 22:00:14.645122+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-06 22:00:15.928122+07:00,NgheAn,nghe-an,36,6,-,57,5,30,1006,80,1
2023-10-06 22:00:17.323456+07:00,BacGiang,bac-giang,75,17,22,18,5,29,1010,83,4
2023-10-06 22:00:00,US-Embassy,@8641,119,3.3,8.7,10.2,0.1,29,1010,83,4.1
2023-10-06 22:00:00,Hanoi,@1583,86,8,19,20,6,29,1010,83,4.1
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-06 22:00:00,LangSon,lang-son,84,10,NA,NA,1,28.4,975.6,81.4,2
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-06 22:00:00,CanTho,can-tho,28,NA,3,3,2,26,1011,100,1
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-06 22:00:00,CaoBang,cao-bang,43,8,NA,1,NA,27.1,982.9,83.2,1
2023-10-06 22:00:00,TayNinh,tay-ninh,NA,NA,1,8,2,28.7,1011,89.5,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-06 22:00:00,DaNang,da-nang,15,5,15,14,6,26,1010,94,0.5
2023-10-06 22:00:00,Hue,hue,8,1,9,10,13,26,1010,94,1
2023-10-06 22:00:00,NhaTrang,nha-trang,12,10,2,14,6,26,1011,88,2
2023-10-06 23:00:12.858058+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
2023-10-06 23:00:14.011909+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-06 23:00:15.304133+07:00,NgheAn,nghe-an,29,4,-,57,6,29,1008,84,1
2023-10-06 23:00:16.578704+07:00,BacGiang,bac-giang,75,19,25,20,5,29,1010,83,4
2023-10-06 23:00:00,US-Embassy,@8641,122,2.9,7.4,10.2,0.1,29,1010,83,3
2023-10-06 23:00:00,Hanoi,@1583,80,7,16,20,5,29,1010,83,3
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-06 23:00:00,LangSon,lang-son,74,12,NA,NA,1,27.2,978,84.2,2
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-06 23:00:00,CanTho,can-tho,23,NA,1,3,2,26,1011,100,1
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-06 23:00:00,CaoBang,cao-bang,41,8,NA,1,NA,27.1,982.9,83.2,1
2023-10-06 23:00:00,TayNinh,tay-ninh,NA,NA,3,8,2,28.7,1011,89.5,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-06 23:00:00,DaNang,da-nang,16,5,15,14,5,26,1010,94,0.5
2023-10-06 23:00:00,Hue,hue,8,1,11,11,12,26,1009,94,1
2023-10-06 23:00:00,NhaTrang,nha-trang,12,10,2,13,3,26,1011,88,1.5
2023-10-07 00:00:12.554423+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
2023-10-07 00:00:13.815861+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-07 00:00:14.975094+07:00,NgheAn,nghe-an,119,4,-,57,6,29,1008,84,1
2023-10-07 00:00:16.256778+07:00,BacGiang,bac-giang,77,18,25,21,5,29,1010,83,3
2023-10-07 00:00:00,US-Embassy,@8641,114,3.7,5.1,10.2,0.1,29,1010,83,3
2023-10-07 00:00:00,Hanoi,@1583,78,9,11,20,3,29,1010,83,3
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-07 00:00:00,LangSon,lang-son,76,8,NA,NA,1,27.2,978,84.2,2
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-07 00:00:00,CanTho,can-tho,21,NA,2,3,2,26,1011,100,0.5
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-07 00:00:00,CaoBang,cao-bang,42,9,NA,2,NA,27.1,982.9,83.2,1
2023-10-07 00:00:00,TayNinh,tay-ninh,NA,NA,3,7,1,28.3,1011.3,93.2,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-07 00:00:00,DaNang,da-nang,15,5,16,14,2,26,1010,94,2.5
2023-10-07 00:00:00,Hue,hue,8,1,11,11,10,26,1009,94,1
2023-10-07 00:00:00,NhaTrang,nha-trang,10,10,2,14,4,26,1011,88,1.5
2023-10-07 01:00:12.938445+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
2023-10-07 01:00:14.202566+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-07 01:00:15.623639+07:00,NgheAn,nghe-an,102,3,-,57,6,29,1008,84,1
2023-10-07 01:00:16.759784+07:00,BacGiang,bac-giang,81,16,38,28,5,29,1010,83,3
2023-10-07 01:00:00,US-Embassy,@8641,95,3.7,4.6,10.2,0.1,29,1009,83,3.6
2023-10-07 01:00:00,Hanoi,@1583,76,9,10,20,3,29,1009,83,3.6
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-07 01:00:00,LangSon,lang-son,78,9,NA,NA,1,27.2,978,84.2,2
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-07 01:00:00,CanTho,can-tho,19,NA,1,3,2,26,1010,100,0.5
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-07 01:00:00,CaoBang,cao-bang,40,9,NA,1,NA,27.1,982.9,83.2,1
2023-10-07 01:00:00,TayNinh,tay-ninh,NA,NA,2,7,1,28.1,1010.5,94.9,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-07 01:00:00,DaNang,da-nang,13,5,15,14,1,26,1009,94,1.5
2023-10-07 01:00:00,Hue,hue,7,1,12,11,9,26,1008,94,0.7
2023-10-07 01:00:00,NhaTrang,nha-trang,10,10,2,14,4,26,1011,88,2.5
2023-10-07 02:00:12.498347+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
