Tstamp,station_ID,pm25,pm10,h,t
2023-05-16 12:56:07,A358570,107,41,42,36.59
2023-05-16 12:54:56,A06487,96,34,45,38.8
2024-01-03 10:55:44,A230398,11,2,52,22.7
2024-01-03 10:54:50,A230383,151,57,52,22.7
2024-01-03 10:56:03,A230626,93,36,57,21.6
2024-01-03 10:50:53,A230443,70,25,60,21.1
2024-01-03 10:54:58,A231934,99,38,72,21.6
2024-01-03 10:51:10,A364435,100,39,55,20.5
2024-01-03 10:54:38,A358570,99,37,53,22.2
2024-01-03 10:55:15,A06487,101,39,60,23.3
2024-01-03 11:53:45,A230398,0,0,52,22.7
2024-01-03 11:54:51,A230383,120,49,55,21.6
2024-01-03 11:54:05,A230626,103,44,65,20
2024-01-03 11:55:02,A230443,68,24,62,20.5
2024-01-03 11:54:59,A231934,100,38,68,21.6
2024-01-03 11:55:04,A364435,96,37,54,20.5
2024-01-03 11:54:39,A358570,102,39,53,22.2
2024-01-03 11:53:15,A06487,106,40,59,23.3
2024-01-03 12:55:46,A230398,13,3,48,22.7
2024-01-03 12:54:52,A230383,110,44,50,22.7
2024-01-03 12:56:06,A230626,97,41,63,20.5
2024-01-03 12:18:48,A230443,69,23,60,20.5
2024-01-03 12:55:00,A231934,92,33,60,23.3
2024-01-03 12:55:04,A364435,88,31,49,21.1
2024-01-03 12:56:40,A358570,89,29,50,22.2
2024-01-03 12:55:16,A06487,89,29,55,23.8
2024-01-03 13:55:47,A230398,64,19,46,23.8
2024-01-03 13:54:53,A230383,111,45,43,25.5
2024-01-03 13:56:07,A230626,82,28,50,22.7
2024-01-03 13:49:29,A230443,57,17,52,22.2
2024-01-03 13:55:01,A231934,93,33,51,25.5
2024-01-03 13:55:05,A364435,90,32,46,22.7
2024-01-03 13:56:41,A358570,89,30,46,23.8
2024-01-03 13:55:17,A06487,86,28,52,24.4
2024-01-03 14:55:56,A230398,13,3,44,24.4
2024-01-03 14:56:55,A230383,111,45,42,25
2024-01-03 14:56:08,A230626,84,32,48,23.3
2024-01-03 14:54:51,A230443,58,16,48,23.3
2024-01-03 14:57:02,A231934,90,30,51,25
2024-01-03 14:57:06,A364435,90,33,45,22.7
2024-01-03 14:56:42,A358570,91,31,44,23.8
2024-01-03 14:57:19,A06487,89,29,50,25
2024-01-03 15:55:57,A230398,6,1,44,24.4
2024-01-03 15:56:56,A230383,114,46,42,24.4
2024-01-03 15:56:09,A230626,89,34,47,23.3
2024-01-03 15:51:02,A230443,61,20,48,23.3
2024-01-03 15:57:03,A231934,95,36,53,24.4
2024-01-03 15:57:17,A364435,99,39,45,23.3
2024-01-03 15:56:43,A358570,96,35,45,23.8
2024-01-03 15:57:19,A06487,98,36,50,25
2024-01-03 16:55:59,A230398,10,2,44,25
2024-01-03 16:54:57,A230383,124,51,44,23.8
2024-01-03 16:54:10,A230626,97,40,48,22.7
2024-01-03 16:48:31,A230443,67,22,47,23.3
2024-01-03 16:55:04,A231934,101,40,55,23.8
2024-01-03 16:55:17,A364435,102,40,44,23.8
2024-01-03 16:54:44,A358570,130,52,45,23.8
2024-01-03 16:57:21,A06487,110,43,51,24.4
2024-01-03 17:58:00,A230398,16,4,48,24.4
2024-01-03 17:56:58,A230383,130,53,46,23.3
2024-01-03 17:58:11,A230626,105,45,49,23.3
2024-01-03 17:55:49,A230443,79,30,48,23.8
2024-01-03 17:57:05,A231934,123,51,57,23.8
2024-01-03 17:55:19,A364435,109,44,45,23.3
2024-01-03 17:56:45,A358570,118,47,47,23.8
2024-01-03 17:57:22,A06487,110,43,52,24.4
2024-01-03 18:58:01,A230398,17,4,54,23.8
